,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,sca_types_sca,sca_types_passlive,sca_types_passdead,sca_types_drib,sca_types_sh,sca_types_fld,sca_types_def,gca_types_gca,gca_types_passlive,gca_types_passdead,gca_types_drib,gca_types_sh,gca_types_fld,gca_types_def,team
72,2022-10-13,18:45,Europa Lg,Group stage,Thu,Home,D,1,1,it Roma,12.0,10.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,Real Betis
73,2022-10-16,21:00,La Liga,Matchweek 9,Sun,Home,W,3,1,Almería,29.0,27.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,Real Betis
74,2022-10-19,19:00,La Liga,Matchweek 10,Wed,Away,D,0,0,Cádiz,24.0,15.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Betis
75,2022-10-23,16:15,La Liga,Matchweek 11,Sun,Home,L,1,2,Atlético Madrid,31.0,24.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Real Betis
76,2022-10-27,19:45,Europa Lg,Group stage,Thu,Away,W,1,0,bg Ludogorets,7.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Real Betis
77,2022-08-10,22:00,Super Cup,UEFA Super Cup,Wed,Home,W,2,0,de Eint Frankfurt,,,,,,,,,,,,,,,Real Madrid
78,2022-08-14,22:00,La Liga,Matchweek 1,Sun,Away,W,2,1,Almería,52.0,45.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,Real Madrid
79,2022-08-20,22:00,La Liga,Matchweek 2,Sat,Away,W,4,1,Celta Vigo,27.0,19.0,0.0,2.0,3.0,1.0,2.0,7.0,5.0,0.0,1.0,1.0,0.0,0.0,Real Madrid
80,2022-08-28,22:00,La Liga,Matchweek 3,Sun,Away,W,3,1,Espanyol,37.0,25.0,5.0,2.0,2.0,3.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,Real Madrid
81,2022-09-03,16:15,La Liga,Matchweek 4,Sat,Home,W,2,1,Betis,44.0,34.0,4.0,1.0,1.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
82,2022-09-06,20:00,Champions Lg,Group stage,Tue,Away,W,3,0,sct Celtic,21.0,21.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
83,2022-09-11,14:00,La Liga,Matchweek 5,Sun,Home,W,4,1,Mallorca,43.0,30.0,2.0,7.0,0.0,3.0,1.0,8.0,2.0,1.0,4.0,0.0,1.0,0.0,Real Madrid
84,2022-09-14,21:00,Champions Lg,Group stage,Wed,Home,W,2,0,de RB Leipzig,22.0,13.0,3.0,1.0,1.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,Real Madrid
85,2022-09-18,21:00,La Liga,Matchweek 6,Sun,Away,W,2,1,Atlético Madrid,12.0,6.0,2.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,Real Madrid
