,_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away
2105,2.0,Sat,2015-08-29,20:30,Barcelona,1–0,Málaga,80812.0,Camp Nou,Santiago Jaime,,
2106,2.0,Sat,2015-08-29,22:00,Celta Vigo,3–0,Rayo Vallecano,17606.0,Estadio de Balaídos,Juan Martínez,,
2107,2.0,Sat,2015-08-29,22:30,Real Madrid,5–0,Betis,70876.0,Estadio Santiago Bernabéu,Alejandro Hernández,,
2108,2.0,Sun,2015-08-30,18:30,Eibar,2–0,Athletic Club,5509.0,Estadio Municipal de Ipurúa,David Fernández,,
2109,2.0,Sun,2015-08-30,20:30,Valencia,1–1,La Coruña,42000.0,Estadio de Mestalla,José González,,
2110,2.0,Sun,2015-08-30,20:30,Sevilla,0–3,Atlético Madrid,38976.0,Estadio Ramón Sánchez Pizjuán,Carlos Clos Gómez,,
2111,2.0,Sun,2015-08-30,21:30,Las Palmas,0–0,Levante,19057.0,Estadio de Gran Canaria,Pedro Pérez,,
2112,2.0,Sun,2015-08-30,22:30,Getafe,1–2,Granada,6000.0,Coliseum Alfonso Pérez,Eduardo Prieto,,
2114,3.0,Fri,2015-09-11,20:30,Levante,1–1,Sevilla,16568.0,Estadio Ciudad de Valencia,Ignacio Iglesias,,
2115,3.0,Sat,2015-09-12,16:00,Espanyol,0–6,Real Madrid,32155.0,RCDE Stadium,Iñaki Bikandi,,
2116,3.0,Sat,2015-09-12,18:15,Sporting Gijón,0–1,Valencia,23206.0,Estadio Municipal El Molinón,Carlos del Cerro,,
2117,3.0,Sat,2015-09-12,20:30,Atlético Madrid,1–2,Barcelona,53491.0,Estadio Vicente Calderón,Antonio Matéu Lahoz,,
2118,3.0,Sat,2015-09-12,22:00,Betis,1–0,Real Sociedad,38768.0,Estadio Benito Villamarín,Alfonso Álvarez,,
2119,3.0,Sun,2015-09-13,12:00,Granada,1–3,Villarreal,13954.0,Estadio Nuevo Los Cármenes,Jesús Gil,,
