,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,goals,shots,shots_on_target,shots_on_target_percent,goals_per_shot,goals_per_shot_on_target,distance,free_kicks,penalty_kicks,penalty_kicks_attempt,xg,nonpenalty_xg,nonpenalty_xg_per_shot,goals_minus_xg,nonpenalty_goals_minus_xg,team
106,2022-10-10,21:00,La Liga,Matchweek 8,Mon,Away,D,1,1,Elche,1.0,9.0,1.0,11.1,0.0,0.0,18.1,0.0,1.0,2.0,2.6,1.0,0.11,-1.6,-1.0,Mallorca
107,2022-08-13,21:00,La Liga,Matchweek 1,Sat,Away,D,0,0,Barcelona,0.0,5.0,2.0,40.0,0.0,0.0,16.5,0.0,0.0,0.0,0.9,0.9,0.17,-0.9,-0.9,Rayo Vallecano
108,2022-08-19,20:00,La Liga,Matchweek 2,Fri,Away,W,2,0,Espanyol,2.0,8.0,4.0,50.0,0.25,0.5,19.0,1.0,0.0,0.0,1.6,1.6,0.2,0.4,0.4,Rayo Vallecano
109,2022-08-27,19:30,La Liga,Matchweek 3,Sat,Home,L,0,2,Mallorca,0.0,15.0,0.0,0.0,0.0,,19.0,1.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9,Rayo Vallecano
110,2022-09-04,14:00,La Liga,Matchweek 4,Sun,Away,L,1,2,Osasuna,1.0,6.0,3.0,50.0,0.17,0.33,21.0,2.0,0.0,0.0,0.2,0.2,0.04,0.8,0.8,Rayo Vallecano
111,2022-09-10,14:00,La Liga,Matchweek 5,Sat,Home,W,2,1,Valencia,1.0,14.0,6.0,42.9,0.07,0.17,17.9,0.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0,Rayo Vallecano
112,2022-09-17,21:00,La Liga,Matchweek 6,Sat,Away,L,2,3,Athletic Club,2.0,12.0,3.0,25.0,0.17,0.67,17.6,0.0,0.0,0.0,1.0,1.0,0.08,1.0,1.0,Rayo Vallecano
113,2022-10-03,21:00,La Liga,Matchweek 7,Mon,Home,W,2,1,Elche,2.0,15.0,6.0,40.0,0.13,0.33,18.5,0.0,0.0,0.0,0.8,0.8,0.05,1.2,1.2,Rayo Vallecano
114,2022-10-08,14:00,La Liga,Matchweek 8,Sat,Away,L,1,3,Almería,1.0,12.0,4.0,33.3,0.08,0.25,17.7,0.0,0.0,0.0,0.9,0.9,0.08,0.1,0.1,Rayo Vallecano
115,2022-10-14,21:00,La Liga,Matchweek 9,Fri,Home,D,0,0,Getafe,0.0,16.0,3.0,18.8,0.0,0.0,,,0.0,1.0,,,,,,Rayo Vallecano
116,2022-08-13,19:00,La Liga,Matchweek 1,Sat,Home,L,0,3,Villarreal,0.0,12.0,6.0,50.0,0.0,0.0,19.4,0.0,0.0,0.0,0.9,0.9,0.08,-0.9,-0.9,Valladolid
117,2022-08-19,22:00,La Liga,Matchweek 2,Fri,Away,D,1,1,Sevilla,1.0,6.0,3.0,50.0,0.17,0.33,22.4,0.0,0.0,0.0,0.8,0.8,0.13,0.2,0.2,Valladolid
