,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,goals,shots,shots_on_target,shots_on_target_percent,goals_per_shot,goals_per_shot_on_target,distance,free_kicks,penalty_kicks,penalty_kicks_attempt,xg,nonpenalty_xg,nonpenalty_xg_per_shot,goals_minus_xg,nonpenalty_goals_minus_xg,team
143,2022-08-26,20:00,La Liga,Matchweek 3,Fri,Home,L,0,1,Celta Vigo,0.0,11.0,3.0,27.3,0.0,0.0,16.3,0.0,0.0,0.0,0.8,0.8,0.07,-0.8,-0.8,Girona
144,2022-09-03,14:00,La Liga,Matchweek 4,Sat,Away,D,1,1,Mallorca,1.0,10.0,3.0,30.0,0.0,0.0,22.1,1.0,1.0,1.0,1.3,0.5,0.05,-0.3,-0.5,Girona
145,2022-09-09,21:00,La Liga,Matchweek 5,Fri,Home,W,2,1,Valladolid,2.0,14.0,5.0,35.7,0.14,0.4,13.5,0.0,0.0,0.0,1.9,1.9,0.14,0.1,0.1,Girona
146,2022-09-18,18:30,La Liga,Matchweek 6,Sun,Away,L,1,2,Betis,1.0,9.0,3.0,33.3,0.11,0.33,17.8,1.0,0.0,0.0,1.2,1.2,0.13,-0.2,-0.2,Girona
147,2022-10-02,18:30,La Liga,Matchweek 7,Sun,Home,L,3,5,Real Sociedad,3.0,16.0,8.0,50.0,0.19,0.38,16.7,0.0,0.0,0.0,1.1,1.1,0.07,1.9,1.9,Girona
148,2022-10-08,16:15,La Liga,Matchweek 8,Sat,Away,L,1,2,Atlético Madrid,1.0,11.0,4.0,36.4,0.09,0.25,22.5,0.0,0.0,0.0,0.5,0.5,0.05,0.5,0.5,Girona
149,2022-08-14,22:00,La Liga,Matchweek 1,Sun,Home,L,1,2,Real Madrid,1.0,10.0,6.0,60.0,0.1,0.17,19.1,0.0,0.0,0.0,0.6,0.6,0.06,0.4,0.4,Almeria
150,2022-08-22,20:00,La Liga,Matchweek 2,Mon,Away,D,1,1,Elche,1.0,13.0,7.0,53.8,0.08,0.14,17.0,1.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1,Almeria
151,2022-08-27,22:00,La Liga,Matchweek 3,Sat,Home,W,2,1,Sevilla,2.0,11.0,5.0,45.5,0.18,0.4,14.1,1.0,0.0,0.0,2.1,2.1,0.19,-0.1,-0.1,Almeria
152,2022-09-05,21:00,La Liga,Matchweek 4,Mon,Away,L,0,1,Valladolid,0.0,12.0,0.0,0.0,0.0,,16.4,0.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,Almeria
153,2022-09-12,21:00,La Liga,Matchweek 5,Mon,Home,L,0,1,Osasuna,0.0,7.0,2.0,28.6,0.0,0.0,17.7,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,Almeria
154,2022-09-17,14:00,La Liga,Matchweek 6,Sat,Away,L,0,1,Mallorca,0.0,9.0,2.0,22.2,0.0,0.0,21.8,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,Almeria
155,2022-09-30,21:00,La Liga,Matchweek 7,Fri,Away,L,0,4,Athletic Club,0.0,8.0,2.0,25.0,0.0,0.0,13.9,0.0,0.0,0.0,0.7,0.7,0.09,-0.7,-0.7,Almeria
156,2022-10-08,14:00,La Liga,Matchweek 8,Sat,Home,W,3,1,Rayo Vallecano,3.0,10.0,4.0,40.0,0.3,0.75,18.2,1.0,0.0,0.0,1.3,1.3,0.13,1.7,1.7,Almeria
157,2022-08-12,21:00,La Liga,Matchweek 1,Fri,Away,L,1,2,Osasuna,1.0,9.0,4.0,44.4,0.11,0.25,17.4,1.0,0.0,0.0,0.8,0.8,0.09,0.2,0.2,Sevilla
158,2022-08-19,22:00,La Liga,Matchweek 2,Fri,Home,D,1,1,Valladolid,1.0,21.0,2.0,9.5,0.05,0.5,13.4,1.0,0.0,0.0,2.6,2.6,0.12,-1.6,-1.6,Sevilla
159,2022-08-27,22:00,La Liga,Matchweek 3,Sat,Away,L,1,2,Almería,1.0,13.0,5.0,38.5,0.08,0.2,17.5,2.0,0.0,0.0,1.1,1.1,0.09,-0.1,-0.1,Sevilla
160,2022-09-03,21:00,La Liga,Matchweek 4,Sat,Home,L,0,3,Barcelona,0.0,9.0,4.0,44.4,0.0,0.0,17.3,0.0,0.0,0.0,1.1,1.1,0.12,-1.1,-1.1,Sevilla
162,2022-09-10,16:15,La Liga,Matchweek 5,Sat,Away,W,3,2,Espanyol,3.0,11.0,7.0,63.6,0.27,0.43,13.0,0.0,0.0,0.0,1.8,1.8,0.17,1.2,1.2,Sevilla
164,2022-09-18,16:15,La Liga,Matchweek 6,Sun,Away,D,1,1,Villarreal,1.0,12.0,1.0,8.3,0.08,1.0,20.6,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5,Sevilla
165,2022-10-01,18:30,La Liga,Matchweek 7,Sat,Home,L,0,2,Atlético Madrid,0.0,14.0,3.0,21.4,0.0,0.0,21.5,0.0,0.0,0.0,0.5,0.5,0.03,-0.5,-0.5,Sevilla
167,2022-10-08,18:30,La Liga,Matchweek 8,Sat,Home,D,1,1,Athletic Club,1.0,10.0,3.0,30.0,0.1,0.33,14.1,1.0,0.0,0.0,1.3,1.3,0.13,-0.3,-0.3,Sevilla
169,2022-08-13,17:00,La Liga,Matchweek 1,Sat,Away,D,2,2,Celta Vigo,2.0,9.0,1.0,11.1,0.11,1.0,29.4,2.0,1.0,1.0,1.2,0.4,0.05,0.8,0.6,Espanyol
170,2022-08-19,20:00,La Liga,Matchweek 2,Fri,Home,L,0,2,Rayo Vallecano,0.0,13.0,1.0,7.7,0.0,0.0,16.7,2.0,0.0,0.0,1.0,1.0,0.08,-1.0,-1.0,Espanyol
171,2022-08-28,22:00,La Liga,Matchweek 3,Sun,Home,L,1,3,Real Madrid,1.0,15.0,4.0,26.7,0.07,0.25,16.1,0.0,0.0,0.0,1.1,1.1,0.07,-0.1,-0.1,Espanyol
172,2022-09-04,16:15,La Liga,Matchweek 4,Sun,Away,W,1,0,Athletic Club,1.0,9.0,2.0,22.2,0.11,0.5,17.9,0.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5,Espanyol
173,2022-09-10,16:15,La Liga,Matchweek 5,Sat,Home,L,2,3,Sevilla,2.0,19.0,4.0,21.1,0.05,0.25,17.8,0.0,1.0,1.0,2.4,1.7,0.1,-0.4,-0.7,Espanyol
174,2022-09-18,18:30,La Liga,Matchweek 6,Sun,Away,L,1,2,Real Sociedad,1.0,14.0,4.0,28.6,0.07,0.25,16.7,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1,Espanyol
175,2022-10-02,14:00,La Liga,Matchweek 7,Sun,Home,D,2,2,Valencia,2.0,10.0,5.0,50.0,0.2,0.4,16.2,0.0,0.0,0.0,0.7,0.7,0.08,1.3,1.3,Espanyol
176,2022-10-09,16:15,La Liga,Matchweek 8,Sun,Away,D,2,2,Cádiz,2.0,9.0,6.0,66.7,0.22,0.33,14.5,0.0,0.0,0.0,1.0,1.0,0.11,1.0,1.0,Espanyol
177,2022-08-15,21:30,La Liga,Matchweek 1,Mon,Away,L,0,3,Betis,0.0,5.0,2.0,40.0,0.0,0.0,12.1,0.0,0.0,0.0,0.4,0.4,0.09,-0.4,-0.4,Elche
178,2022-08-22,20:00,La Liga,Matchweek 2,Mon,Home,D,1,1,Almería,1.0,13.0,3.0,23.1,0.08,0.33,15.9,0.0,0.0,0.0,1.1,1.1,0.08,-0.1,-0.1,Elche
179,2022-08-27,17:30,La Liga,Matchweek 3,Sat,Home,L,0,1,Real Sociedad,0.0,12.0,5.0,41.7,0.0,0.0,19.4,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,Elche
180,2022-09-04,18:30,La Liga,Matchweek 4,Sun,Away,L,0,4,Villarreal,0.0,7.0,0.0,0.0,0.0,,19.8,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,Elche
181,2022-09-11,16:15,La Liga,Matchweek 5,Sun,Home,L,1,4,Athletic Club,1.0,9.0,2.0,22.2,0.11,0.5,20.3,0.0,0.0,0.0,0.9,0.9,0.1,0.1,0.1,Elche
182,2022-09-17,16:15,La Liga,Matchweek 6,Sat,Away,L,0,3,Barcelona,0.0,1.0,1.0,100.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,Elche
183,2022-10-03,21:00,La Liga,Matchweek 7,Mon,Away,L,1,2,Rayo Vallecano,1.0,5.0,2.0,40.0,0.2,0.5,16.3,0.0,0.0,0.0,0.6,0.6,0.11,0.4,0.4,Elche
184,2022-10-10,21:00,La Liga,Matchweek 8,Mon,Home,D,1,1,Mallorca,1.0,7.0,2.0,28.6,0.14,0.5,16.1,1.0,0.0,0.0,0.4,0.4,0.06,0.6,0.6,Elche
185,2022-08-14,17:30,La Liga,Matchweek 1,Sun,Home,L,0,1,Real Sociedad,0.0,8.0,1.0,12.5,0.0,0.0,18.4,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,Cadiz
186,2022-08-20,17:30,La Liga,Matchweek 2,Sat,Away,L,0,2,Osasuna,0.0,9.0,2.0,22.2,0.0,0.0,17.3,1.0,0.0,0.0,1.3,1.3,0.15,-1.3,-1.3,Cadiz
187,2022-08-29,20:00,La Liga,Matchweek 3,Mon,Home,L,0,4,Athletic Club,0.0,9.0,4.0,44.4,0.0,0.0,28.3,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,Cadiz
188,2022-09-02,21:00,La Liga,Matchweek 4,Fri,Away,L,0,3,Celta Vigo,0.0,7.0,0.0,0.0,0.0,,18.1,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,Cadiz
189,2022-09-10,18:30,La Liga,Matchweek 5,Sat,Home,L,0,4,Barcelona,0.0,6.0,0.0,0.0,0.0,,22.6,1.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,Cadiz
190,2022-09-16,21:00,La Liga,Matchweek 6,Fri,Away,W,1,0,Valladolid,1.0,7.0,1.0,14.3,0.14,1.0,22.0,1.0,0.0,0.0,0.4,0.4,0.05,0.6,0.6,Cadiz
191,2022-10-01,14:00,La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,0.0,10.0,2.0,20.0,0.0,0.0,17.9,0.0,0.0,0.0,0.7,0.7,0.07,-0.7,-0.7,Cadiz
192,2022-10-09,16:15,La Liga,Matchweek 8,Sun,Home,D,2,2,Espanyol,2.0,9.0,3.0,33.3,0.22,0.67,12.3,1.0,0.0,0.0,1.4,1.4,0.16,0.6,0.6,Cadiz
193,2021-08-15,17:30,La Liga,Matchweek 1,Sun,Away,W,2,1,Celta Vigo,2.0,13.0,4.0,30.8,0.15,0.5,16.0,1.0,0.0,0.0,1.4,1.4,0.11,0.6,0.6,Atletico Madrid
194,2021-08-22,19:30,La Liga,Matchweek 2,Sun,Home,W,1,0,Elche,1.0,8.0,4.0,50.0,0.13,0.25,22.5,0.0,0.0,0.0,1.3,1.3,0.17,-0.3,-0.3,Atletico Madrid
195,2021-08-29,22:00,La Liga,Matchweek 3,Sun,Home,D,2,2,Villarreal,1.0,23.0,3.0,13.0,0.04,0.33,19.5,1.0,0.0,0.0,1.8,1.8,0.08,-0.8,-0.8,Atletico Madrid
196,2021-09-12,14:00,La Liga,Matchweek 4,Sun,Away,W,2,1,Espanyol,2.0,13.0,3.0,23.1,0.15,0.67,17.9,0.0,0.0,0.0,1.0,1.0,0.07,1.0,1.0,Atletico Madrid
198,2021-09-18,16:15,La Liga,Matchweek 5,Sat,Home,D,0,0,Athletic Club,0.0,14.0,2.0,14.3,0.0,0.0,17.2,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,Atletico Madrid
199,2021-09-21,19:30,La Liga,Matchweek 6,Tue,Away,W,2,1,Getafe,2.0,12.0,4.0,33.3,0.17,0.5,16.7,0.0,0.0,0.0,0.8,0.8,0.07,1.2,1.2,Atletico Madrid
200,2021-09-25,14:00,La Liga,Matchweek 7,Sat,Away,L,0,1,Alavés,0.0,13.0,1.0,7.7,0.0,0.0,19.9,0.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7,Atletico Madrid
202,2021-10-02,21:00,La Liga,Matchweek 8,Sat,Home,W,2,0,Barcelona,2.0,6.0,3.0,50.0,0.33,0.67,15.7,0.0,0.0,0.0,1.1,1.1,0.19,0.9,0.9,Atletico Madrid
204,2021-10-24,21:00,La Liga,Matchweek 10,Sun,Home,D,2,2,Real Sociedad,2.0,16.0,3.0,18.8,0.06,0.33,19.2,0.0,1.0,1.0,1.6,0.8,0.05,0.4,0.2,Atletico Madrid
205,2021-10-28,21:30,La Liga,Matchweek 11,Thu,Away,D,2,2,Levante,2.0,7.0,3.0,42.9,0.29,0.67,15.4,0.0,0.0,0.0,0.7,0.7,0.1,1.3,1.3,Atletico Madrid
206,2021-10-31,16:15,La Liga,Matchweek 12,Sun,Home,W,3,0,Betis,2.0,16.0,9.0,56.3,0.13,0.22,11.5,0.0,0.0,0.0,2.2,2.2,0.14,-0.2,-0.2,Atletico Madrid
208,2021-11-07,16:15,La Liga,Matchweek 13,Sun,Away,D,3,3,Valencia,3.0,13.0,7.0,53.8,0.23,0.43,17.7,0.0,0.0,0.0,1.9,1.9,0.18,1.1,1.1,Atletico Madrid
209,2021-11-20,18:30,La Liga,Matchweek 14,Sat,Home,W,1,0,Osasuna,1.0,15.0,2.0,13.3,0.07,0.5,21.3,0.0,0.0,0.0,1.2,1.2,0.08,-0.2,-0.2,Atletico Madrid
211,2021-11-28,18:30,La Liga,Matchweek 15,Sun,Away,W,4,1,Cádiz,4.0,17.0,7.0,41.2,0.24,0.57,12.9,0.0,0.0,0.0,3.4,3.4,0.21,0.6,0.6,Atletico Madrid
212,2021-12-04,18:30,La Liga,Matchweek 16,Sat,Home,L,1,2,Mallorca,1.0,14.0,6.0,42.9,0.07,0.17,11.7,0.0,0.0,0.0,1.4,1.4,0.1,-0.4,-0.4,Atletico Madrid
214,2021-12-12,21:00,La Liga,Matchweek 17,Sun,Away,L,0,2,Real Madrid,0.0,9.0,6.0,66.7,0.0,0.0,15.8,1.0,0.0,0.0,0.7,0.7,0.08,-0.7,-0.7,Atletico Madrid
215,2021-12-18,21:00,La Liga,Matchweek 18,Sat,Away,L,1,2,Sevilla,1.0,14.0,3.0,21.4,0.07,0.33,20.2,0.0,0.0,0.0,0.8,0.8,0.06,0.2,0.2,Atletico Madrid
216,2021-12-22,19:00,La Liga,Matchweek 9,Wed,Away,L,1,2,Granada,1.0,16.0,3.0,18.8,0.06,0.33,15.0,0.0,0.0,0.0,1.6,1.6,0.1,-0.6,-0.6,Atletico Madrid
217,2022-01-02,16:15,La Liga,Matchweek 19,Sun,Home,W,2,0,Rayo Vallecano,2.0,15.0,5.0,33.3,0.13,0.4,17.6,0.0,0.0,0.0,1.7,1.7,0.11,0.3,0.3,Atletico Madrid
219,2022-01-09,21:00,La Liga,Matchweek 20,Sun,Away,D,2,2,Villarreal,2.0,7.0,5.0,71.4,0.29,0.4,26.1,0.0,0.0,0.0,0.5,0.5,0.07,1.5,1.5,Atletico Madrid
222,2022-01-22,21:00,La Liga,Matchweek 22,Sat,Home,W,3,2,Valencia,3.0,16.0,6.0,37.5,0.19,0.5,12.1,0.0,0.0,0.0,2.7,2.7,0.17,0.3,0.3,Atletico Madrid
223,2022-02-06,16:15,La Liga,Matchweek 23,Sun,Away,L,2,4,Barcelona,2.0,11.0,5.0,45.5,0.18,0.4,15.5,1.0,0.0,0.0,1.3,1.3,0.12,0.7,0.7,Atletico Madrid
224,2022-02-12,21:00,La Liga,Matchweek 24,Sat,Home,W,4,3,Getafe,4.0,10.0,6.0,60.0,0.4,0.67,16.5,0.0,0.0,1.0,2.7,1.9,0.21,1.3,2.1,Atletico Madrid
225,2022-02-16,19:00,La Liga,Matchweek 21,Wed,Home,L,0,1,Levante,0.0,11.0,1.0,9.1,0.0,0.0,15.5,1.0,0.0,0.0,0.9,0.9,0.08,-0.9,-0.9,Atletico Madrid
226,2022-02-19,16:15,La Liga,Matchweek 25,Sat,Away,W,3,0,Osasuna,3.0,5.0,4.0,80.0,0.6,0.75,21.5,0.0,0.0,0.0,0.5,0.5,0.09,2.5,2.5,Atletico Madrid
228,2022-02-26,21:00,La Liga,Matchweek 26,Sat,Home,W,2,0,Celta Vigo,2.0,13.0,6.0,46.2,0.15,0.33,20.9,1.0,0.0,0.0,0.7,0.7,0.06,1.3,1.3,Atletico Madrid
229,2022-03-06,21:00,La Liga,Matchweek 27,Sun,Away,W,3,1,Betis,3.0,8.0,6.0,75.0,0.38,0.5,10.2,0.0,0.0,0.0,2.4,2.4,0.31,0.6,0.6,Atletico Madrid
230,2022-03-11,21:00,La Liga,Matchweek 28,Fri,Home,W,2,1,Cádiz,2.0,6.0,5.0,83.3,0.33,0.4,21.8,0.0,0.0,0.0,0.5,0.5,0.08,1.5,1.5,Atletico Madrid
232,2022-03-19,21:00,La Liga,Matchweek 29,Sat,Away,W,1,0,Rayo Vallecano,1.0,11.0,2.0,18.2,0.09,0.5,18.2,0.0,0.0,0.0,1.3,1.3,0.12,-0.3,-0.3,Atletico Madrid
233,2022-04-02,21:00,La Liga,Matchweek 30,Sat,Home,W,4,1,Alavés,4.0,13.0,7.0,53.8,0.23,0.43,17.4,0.0,1.0,1.0,2.9,2.1,0.2,1.1,0.9,Atletico Madrid
235,2022-04-09,16:15,La Liga,Matchweek 31,Sat,Away,L,0,1,Mallorca,0.0,9.0,1.0,11.1,0.0,0.0,16.5,1.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,Atletico Madrid
237,2022-04-17,16:15,La Liga,Matchweek 32,Sun,Home,W,2,1,Espanyol,2.0,9.0,2.0,22.2,0.11,0.5,19.5,0.0,1.0,1.0,1.3,0.5,0.06,0.7,0.5,Atletico Madrid
238,2022-04-20,19:00,La Liga,Matchweek 33,Wed,Home,D,0,0,Granada,0.0,23.0,1.0,4.3,0.0,0.0,18.5,1.0,0.0,0.0,0.9,0.9,0.04,-0.9,-0.9,Atletico Madrid
239,2022-04-30,21:00,La Liga,Matchweek 34,Sat,Away,L,0,2,Athletic Club,0.0,9.0,2.0,22.2,0.0,0.0,18.2,1.0,0.0,0.0,0.8,0.8,0.09,-0.8,-0.8,Atletico Madrid
240,2022-05-08,21:00,La Liga,Matchweek 35,Sun,Home,W,1,0,Real Madrid,1.0,15.0,1.0,6.7,0.0,0.0,19.3,0.0,1.0,1.0,2.9,2.1,0.14,-1.9,-2.1,Atletico Madrid
241,2022-05-11,21:30,La Liga,Matchweek 36,Wed,Away,W,2,0,Elche,2.0,11.0,4.0,36.4,0.18,0.5,19.5,0.0,0.0,0.0,2.1,2.1,0.19,-0.1,-0.1,Atletico Madrid
242,2022-05-15,19:30,La Liga,Matchweek 37,Sun,Home,D,1,1,Sevilla,1.0,12.0,3.0,25.0,0.08,0.33,16.1,0.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0,Atletico Madrid
243,2022-05-22,22:00,La Liga,Matchweek 38,Sun,Away,W,2,1,Real Sociedad,2.0,6.0,5.0,83.3,0.33,0.4,17.5,0.0,0.0,0.0,0.8,0.8,0.14,1.2,1.2,Atletico Madrid
244,2021-08-14,22:00,La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,4.0,19.0,7.0,36.8,0.21,0.57,18.0,2.0,0.0,0.0,1.8,1.8,0.09,2.2,2.2,Real Madrid
245,2021-08-22,22:00,La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,3.0,20.0,5.0,25.0,0.15,0.6,19.3,1.0,0.0,0.0,1.2,1.2,0.06,1.8,1.8,Real Madrid
246,2021-08-28,22:00,La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,1.0,13.0,3.0,23.1,0.08,0.33,17.6,0.0,0.0,0.0,1.1,1.1,0.09,-0.1,-0.1,Real Madrid
247,2021-09-12,21:00,La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,5.0,14.0,10.0,71.4,0.29,0.4,12.9,0.0,1.0,1.0,3.4,2.6,0.19,1.6,1.4,Real Madrid
249,2021-09-19,21:00,La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,2.0,18.0,10.0,55.6,0.11,0.2,17.9,0.0,0.0,0.0,1.1,1.1,0.06,0.9,0.9,Real Madrid
250,2021-09-22,22:00,La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,6.0,18.0,11.0,61.1,0.33,0.55,14.6,0.0,0.0,0.0,2.9,2.9,0.16,3.1,3.1,Real Madrid
251,2021-09-25,21:00,La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,0.0,16.0,2.0,12.5,0.0,0.0,17.6,0.0,0.0,0.0,1.4,1.4,0.09,-1.4,-1.4,Real Madrid
253,2021-10-03,16:15,La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,1.0,18.0,4.0,22.2,0.06,0.25,18.2,2.0,0.0,0.0,1.4,1.4,0.08,-0.4,-0.4,Real Madrid
255,2021-10-24,16:15,La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,2.0,10.0,5.0,50.0,0.2,0.4,13.3,0.0,0.0,0.0,1.1,1.1,0.12,0.9,0.9,Real Madrid
256,2021-10-27,21:30,La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,0.0,17.0,2.0,11.8,0.0,0.0,25.2,1.0,0.0,0.0,0.8,0.8,0.05,-0.8,-0.8,Real Madrid
257,2021-10-30,14:00,La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,2.0,17.0,5.0,29.4,0.12,0.4,17.2,0.0,0.0,0.0,1.1,1.1,0.06,0.9,0.9,Real Madrid
259,2021-11-06,21:00,La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,2.0,15.0,6.0,40.0,0.13,0.33,13.1,0.0,0.0,0.0,2.1,2.1,0.14,-0.1,-0.1,Real Madrid
260,2021-11-21,16:15,La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,4.0,21.0,9.0,42.9,0.19,0.44,15.7,0.0,0.0,0.0,3.3,3.3,0.17,0.7,0.7,Real Madrid
262,2021-11-28,21:00,La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,2.0,14.0,4.0,28.6,0.14,0.5,21.2,1.0,0.0,0.0,1.5,1.5,0.11,0.5,0.5,Real Madrid
263,2021-12-01,21:00,La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,1.0,17.0,7.0,41.2,0.06,0.14,19.6,0.0,0.0,0.0,1.7,1.7,0.12,-0.7,-0.7,Real Madrid
264,2021-12-04,21:00,La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,2.0,13.0,8.0,61.5,0.15,0.25,15.6,1.0,0.0,0.0,2.0,2.0,0.15,0.0,0.0,Real Madrid
266,2021-12-12,21:00,La Liga,Matchweek 17,Sun,Home,W,2,0,Atlético Madrid,2.0,7.0,3.0,42.9,0.29,0.67,16.3,0.0,0.0,0.0,0.6,0.6,0.09,1.4,1.4,Real Madrid
267,2021-12-19,21:00,La Liga,Matchweek 18,Sun,Home,D,0,0,Cádiz,0.0,36.0,8.0,22.2,0.0,0.0,18.6,2.0,0.0,0.0,2.6,2.6,0.07,-2.6,-2.6,Real Madrid
268,2021-12-22,21:30,La Liga,Matchweek 21,Wed,Away,W,2,1,Athletic Club,2.0,12.0,7.0,58.3,0.17,0.29,21.7,0.0,0.0,0.0,1.2,1.2,0.11,0.8,0.8,Real Madrid
269,2022-01-02,14:00,La Liga,Matchweek 19,Sun,Away,L,0,1,Getafe,0.0,14.0,4.0,28.6,0.0,0.0,20.8,1.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,Real Madrid
271,2022-01-08,21:00,La Liga,Matchweek 20,Sat,Home,W,4,1,Valencia,4.0,22.0,7.0,31.8,0.14,0.43,18.9,1.0,1.0,1.0,3.6,2.9,0.14,0.4,0.1,Real Madrid
275,2022-01-23,16:15,La Liga,Matchweek 22,Sun,Home,D,2,2,Elche,2.0,21.0,8.0,38.1,0.05,0.13,16.5,1.0,1.0,2.0,3.3,1.8,0.09,-1.3,-0.8,Real Madrid
277,2022-02-06,21:00,La Liga,Matchweek 23,Sun,Home,W,1,0,Granada,1.0,23.0,11.0,47.8,0.04,0.09,18.6,1.0,0.0,0.0,1.9,1.9,0.08,-0.9,-0.9,Real Madrid
278,2022-02-12,16:15,La Liga,Matchweek 24,Sat,Away,D,0,0,Villarreal,0.0,18.0,5.0,27.8,0.0,0.0,18.3,0.0,0.0,0.0,1.9,1.9,0.11,-1.9,-1.9,Real Madrid
280,2022-02-19,21:00,La Liga,Matchweek 25,Sat,Home,W,3,0,Alavés,3.0,22.0,7.0,31.8,0.09,0.29,17.7,2.0,1.0,1.0,3.0,2.3,0.11,0.0,-0.3,Real Madrid
281,2022-02-26,18:30,La Liga,Matchweek 26,Sat,Away,W,1,0,Rayo Vallecano,1.0,15.0,6.0,40.0,0.07,0.17,14.5,0.0,0.0,0.0,2.2,2.2,0.14,-1.2,-1.2,Real Madrid
282,2022-03-05,21:00,La Liga,Matchweek 27,Sat,Home,W,4,1,Real Sociedad,4.0,17.0,7.0,41.2,0.18,0.43,21.1,2.0,1.0,1.0,1.6,0.9,0.05,2.4,2.1,Real Madrid
284,2022-03-14,21:00,La Liga,Matchweek 28,Mon,Away,W,3,0,Mallorca,3.0,10.0,4.0,40.0,0.2,0.5,19.0,0.0,1.0,1.0,2.0,1.3,0.13,1.0,0.7,Real Madrid
285,2022-03-20,21:00,La Liga,Matchweek 29,Sun,Home,L,0,4,Barcelona,0.0,14.0,4.0,28.6,0.0,0.0,19.9,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,Real Madrid
286,2022-04-02,18:30,La Liga,Matchweek 30,Sat,Away,W,2,1,Celta Vigo,2.0,9.0,3.0,33.3,0.0,0.0,23.0,0.0,2.0,3.0,3.0,0.6,0.07,-1.0,-0.6,Real Madrid
288,2022-04-09,21:00,La Liga,Matchweek 31,Sat,Home,W,2,0,Getafe,2.0,26.0,8.0,30.8,0.08,0.25,20.1,0.0,0.0,0.0,1.1,1.1,0.04,0.9,0.9,Real Madrid
290,2022-04-17,21:00,La Liga,Matchweek 32,Sun,Away,W,3,2,Sevilla,3.0,16.0,6.0,37.5,0.19,0.5,21.2,0.0,0.0,0.0,1.8,1.8,0.11,1.2,1.2,Real Madrid
291,2022-04-20,21:30,La Liga,Matchweek 33,Wed,Away,W,3,1,Osasuna,3.0,22.0,7.0,31.8,0.14,0.43,18.5,0.0,0.0,2.0,4.5,3.0,0.15,-1.5,0.0,Real Madrid
293,2022-04-30,16:15,La Liga,Matchweek 34,Sat,Home,W,4,0,Espanyol,4.0,12.0,5.0,41.7,0.33,0.8,14.7,0.0,0.0,0.0,2.0,2.0,0.17,2.0,2.0,Real Madrid
295,2022-05-08,21:00,La Liga,Matchweek 35,Sun,Away,L,0,1,Atlético Madrid,0.0,15.0,6.0,40.0,0.0,0.0,22.5,0.0,0.0,0.0,1.2,1.2,0.08,-1.2,-1.2,Real Madrid
296,2022-05-12,21:30,La Liga,Matchweek 36,Thu,Home,W,6,0,Levante,6.0,27.0,16.0,59.3,0.22,0.38,15.6,1.0,0.0,0.0,4.3,4.3,0.16,1.7,1.7,Real Madrid
297,2022-05-15,19:30,La Liga,Matchweek 37,Sun,Away,D,1,1,Cádiz,1.0,16.0,7.0,43.8,0.06,0.14,18.3,1.0,0.0,0.0,2.0,2.0,0.14,-1.0,-1.0,Real Madrid
298,2022-05-20,21:00,La Liga,Matchweek 38,Fri,Home,D,0,0,Betis,0.0,18.0,3.0,16.7,0.0,0.0,20.6,0.0,0.0,0.0,1.3,1.3,0.07,-1.3,-1.3,Real Madrid
