_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away,homegoal,awaygoal
33,Sat,2019-04-20,16:15:00,Eibar,0–1,Atlético Madrid,4750,Estadio Municipal de Ipurúa,Alberola Rojas,0.5,1.4,0,1
33,Sat,2019-04-20,18:30:00,Rayo Vallecano,0–0,Huesca,10542,Estadio del Rayo Vallecano,José González,1.0,0.5,0,0
33,Sat,2019-04-20,20:45:00,Barcelona,2–1,Real Sociedad,75470,Camp Nou,Pablo González,1.0,1.0,2,1
33,Sun,2019-04-21,16:15:00,Real Madrid,3–0,Athletic Club,59815,Estadio Santiago Bernabéu,Mario Melero,1.4,0.4,3,0
33,Sun,2019-04-21,12:00:00,Levante,2–2,Espanyol,16876,Estadio Ciudad de Valencia,Jesús Gil,1.7,1.3,2,2
33,Sun,2019-04-21,14:00:00,Getafe,3–0,Sevilla,11495,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,2.6,0.5,3,0
33,Sun,2019-04-21,18:30:00,Villarreal,2–1,Leganés,14753,Estadio de la Cerámica,Eduardo Prieto,1.2,1.2,2,1
33,Sun,2019-04-21,20:45:00,Betis,1–2,Valencia,42508,Estadio Benito Villamarín,José Sánchez,1.7,0.4,1,2
34,Tue,2019-04-23,21:30:00,Alavés,0–2,Barcelona,18735,Estadio de Mendizorroza,Adrián Cordero,0.3,2.5,0,2
34,Tue,2019-04-23,19:30:00,Huesca,2–0,Eibar,6157,Estadio El Alcoraz,David Medié,1.2,0.6,2,0
34,Tue,2019-04-23,20:30:00,Valladolid,1–0,Girona,19106,Estadio Municipal José Zorrilla,Juan Martínez,0.8,0.4,1,0
34,Wed,2019-04-24,21:30:00,Levante,4–0,Betis,20394,Estadio Ciudad de Valencia,Santiago Jaime,1.1,0.3,4,0
34,Wed,2019-04-24,19:30:00,Atlético Madrid,3–2,Valencia,43531,Estadio Wanda Metropolitano,Alejandro Hernández,1.2,1.7,3,2
34,Wed,2019-04-24,20:30:00,Leganés,0–1,Athletic Club,4155,Estadio Municipal de Butarque,Ignacio Iglesias,0.4,0.4,0,1
34,Wed,2019-04-24,20:30:00,Espanyol,1–1,Celta Vigo,15680,RCDE Stadium,Alberto Undiano,1.4,2.4,1,1
34,Thu,2019-04-25,20:30:00,Real Sociedad,0–1,Villarreal,20060,Estadio Municipal de Anoeta,José Luis Munuera,0.8,0.8,0,1
34,Thu,2019-04-25,19:30:00,Sevilla,5–0,Rayo Vallecano,31636,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra,3.6,0.6,5,0
34,Thu,2019-04-25,21:30:00,Getafe,0–0,Real Madrid,13135,Coliseum Alfonso Pérez,Ricardo de Burgos,0.6,1.5,0,0
35,Sat,2019-04-27,18:30:00,Leganés,0–0,Celta Vigo,10324,Estadio Municipal de Butarque,Juan Martínez,0.4,0.5,0,0
35,Sat,2019-04-27,13:00:00,Athletic Club,1–1,Alavés,40402,San Mamés,Jesús Gil,1.0,1.5,1,1
35,Sat,2019-04-27,16:15:00,Atlético Madrid,1–0,Valladolid,53123,Estadio Wanda Metropolitano,Mario Melero,0.8,0.7,1,0
35,Sat,2019-04-27,20:45:00,Barcelona,1–0,Levante,91917,Camp Nou,Ricardo de Burgos,2.1,0.7,1,0
35,Sun,2019-04-28,20:45:00,Rayo Vallecano,1–0,Real Madrid,13273,Estadio del Rayo Vallecano,Pablo González,1.5,0.5,1,0
35,Sun,2019-04-28,12:00:00,Valencia,0–1,Eibar,35393,Estadio de Mestalla,Javier Estrada,0.5,0.9,0,1
35,Sun,2019-04-28,14:00:00,Girona,1–0,Sevilla,11281,Estadi Municipal de Montilivi,José González,1.6,0.6,1,0
35,Sun,2019-04-28,16:15:00,Real Sociedad,2–1,Getafe,19386,Estadio Municipal de Anoeta,Eduardo Prieto,2.1,0.8,2,1
35,Sun,2019-04-28,18:30:00,Villarreal,1–1,Huesca,17901,Estadio de la Cerámica,José Sánchez,0.9,1.7,1,1
35,Mon,2019-04-29,21:00:00,Betis,1–1,Espanyol,30561,Estadio Benito Villamarín,Carlos del Cerro,1.3,1.2,1,1
36,Fri,2019-05-03,21:00:00,Sevilla,0–3,Leganés,32797,Estadio Ramón Sánchez Pizjuán,Alberto Undiano,0.3,1.4,0,3
36,Sat,2019-05-04,20:45:00,Celta Vigo,2–0,Barcelona,22519,Estadio de Balaídos,José Sánchez,1.8,0.5,2,0
